,RNA_PC1,RNA_PC2,Protein_PC1,Protein_PC2,Mutation_PC1,Mutation_PC2
P_1319772,-0.6404896740521258,-1.1637442741663087,0.5666472372247976,0.2754112772484034,-0.19934912086924256,0.26235724684832196
P_2048135,2.3034654830770167,0.6154794850249774,1.273951021592796,-1.2056579433301151,1.0010864814912739,0.06829718388551446
P_2257527,-0.22925383284218792,-0.013647635895034585,-0.3824648772818568,0.19509155726993618,-0.07478162091797902,-1.0934290916396339
P_2457628,0.7155624960752422,-0.9695232437854211,0.547842619995684,-1.104419926352154,-0.22637175570507737,0.46120180346942613
P_2650121,1.0367004829571171,-0.4772793784232005,0.5746639830392397,0.771548453042565,0.5911265744798633,-1.2266707534906232
P_2931164,0.41582895575527107,0.6147739998781498,-0.5332600787957482,-0.9662418205528844,0.09832999113047494,0.6052317666297196
P_2954677,1.7018326202974068,0.6206165373384228,0.5145523579413703,-0.253807537924666,0.9008849599880652,-1.6106141280681618
P_3314767,0.5062846716100413,0.4934636440592897,0.08454696635837794,0.36794158507881103,0.14600353838518182,-0.43960174302308236
P_3315909,1.2860819118187257,-0.5558769174862823,0.789214274855735,0.6328126917515694,1.1573243299600375,0.6919036854525873
P_3319346,-0.7165200543996078,-1.6767789494641665,-0.765544811020499,0.43827418577247074,0.009331909128566804,1.0568742712406196
P_3323161,0.22480472491440287,-1.1035389339278439,-0.4263065186729038,-1.305257687567935,-0.04827363023957736,0.19998816518632231
P_3324610,0.30835188900039817,0.017194503392531146,-0.013092350653570685,-0.44879104733792763,0.4393206465471727,1.5277055036729281
P_3326132,-0.6186737767676356,-0.6768117539658238,1.080337864226008,0.39046430638292917,0.2542313702561185,-0.19989627192693044
P_3346004,0.13141135243575383,-0.5662953204876191,0.7146744166538663,1.0178659264164671,-0.23330950972920816,-1.8095257772137565
P_3350346,-1.0010141625314273,0.4384907310550237,-0.03787692717050218,1.3791131558011978,-1.425536879327469,2.096279076388004
P_3357194,0.918997272006912,-0.19713403831968113,0.4696487048005161,0.5431026351843959,-0.16235667806011744,-1.8373057883462651
P_3358439,-0.6542805189711067,1.3295030195201338,-0.7247145007293061,-0.10657245930699887,-1.6153740092403779,1.5439726773955897
P_3363425,-0.9759983587318869,-0.6064948330504607,0.0914435074215136,0.8104565295745466,-0.2014064542956297,-0.34685726894052266
P_3365070,1.8917737214222168,-0.6068284629413403,2.016387234012238,-0.5507325235290866,0.5640004978528756,0.4336668764566516
P_3367008,-1.1384464618304828,1.167201968908351,-1.184336330240668,0.41094409022951295,-1.2873140103914944,1.7543889847892706
P_3369277,-1.3744375229167463,0.6536448328778429,0.07872478756704251,0.7272309671583191,-1.233632243618841,1.409062362510449
P_3371401,-0.32501585429556223,0.24436000436504995,-0.7518755899603139,0.8349328916257447,0.14922009091103955,-0.10388679644222118
P_3379869,0.030743529501878898,-0.33372674312057415,-0.30131918701823973,1.039530953550436,-1.2351488951974208,-1.001167291575731
P_3383560,-0.8580220667231178,-0.3074753511936864,0.16696762564521642,0.9745334125223627,1.1535153060856185,-0.1276847845012313
P_3384440,-1.0556492863125178,-0.2984099191010159,-1.5103936113915366,0.49488206137034785,-1.8310452280365697,0.004253823965846196
P_3387242,-0.17934784536078774,0.9830036633034667,-0.6819423439344203,-1.4187025949856726,-0.8001975585046378,-1.1568336512258544
P_3393117,-1.769825342376665,0.7092053234085447,-0.24510486065198175,0.30076144238221725,0.6297251233821359,1.0778486211612772
P_3393642,1.7224782201065825,-0.8258490038821595,1.083921472642811,-0.43387319767444293,0.15239605109314266,-2.2085704125460692
P_3397416,-1.2878559595031562,1.3944675927211132,0.38529185451700754,0.636516701390212,-1.2217308490031578,2.526397902485892
P_3427823,-0.6355174548091764,0.08718651944758285,0.9037181728175773,0.32166230942300666,0.2061780993181793,-0.562336075629531
P_3432269,0.25521734776083443,-0.8818488533906925,0.4659430943345061,1.3092788734771459,0.01749880294859525,-1.1579761813303886
P_3435016,-0.10929942091949107,-1.2887807946869014,0.5150487624844104,-0.13994960353100416,-0.1742371561972674,0.5667115241802565
P_3459001,-1.2678878152093134,-0.009632257946524298,0.011145879370518393,-0.020855814754447272,-1.2169524397450202,-2.4808578321431796
P_3464605,-0.01986469610704145,-0.25778831135952174,0.7946064675219043,-0.7414993694145288,-0.5388697423013675,-1.8093952224214525
P_3469758,1.821506017207882,-0.34879762729545344,0.745970555594338,-0.7607592206764876,0.5884400446482984,-1.5562022277559686
P_3470562,0.023741260074229234,-0.9318224260800796,-0.028767162699932302,-0.2883337590555894,0.7369000201930558,-1.258223000996904
P_3475747,-0.11982674996770262,-0.6502847510251621,0.14240514067337917,0.436778137877431,0.40085599537704025,0.19393384083750292
P_3476949,-0.7143592816603812,0.23888142972400322,-0.6237888680885221,0.4543687472261632,-1.8059173962055237,1.106214707200211
P_3477006,-1.3967564567755566,-1.1504659323411266,-1.9149794581094413,-0.26716916830029813,-0.2142954965795287,-0.9977460036817204
P_3479484,-0.4646363316278792,-0.10616721100788687,-0.20249706346453428,2.3631360720947963,0.11900245597458917,0.4857616055173277
P_3479592,-0.41931239833637995,-0.45649573830995677,-0.7220329986790165,1.3307814440680352,-0.05896419924078746,-1.0382473539884443
P_3479633,-0.8704894495276362,-0.021609950157989135,0.436340111793688,1.103297963872924,0.20120144301903364,-0.7238004304121904
P_3482036,-1.3859083578181992,0.1101685677730234,-1.3666184248034032,1.2713290718330486,-1.7723949640666605,0.6366560725340323
P_3482320,-1.2220174053688488,2.0016670634074543,-1.7020646220352988,0.1344643431762601,0.5617407521787278,0.8313558184726838
P_3484060,-0.7145153863750714,-0.2731356423987139,-1.0188658860653466,1.0494448754899721,-0.39017344965002415,-0.8813178985434958
P_3487327,0.8730762741876458,0.8704266464243777,0.5511652081293862,0.02351574142627994,1.197186741910332,0.46838458916417036
P_3491383,-0.765811851670418,-0.2798309884911611,-0.8718046530963406,0.15439271020787113,-0.982234345692034,-1.0010887669674973
P_3493620,1.6314249103196017,-0.49286939129837165,1.5859917020006142,-0.45694376390046243,1.0194844964144827,-0.17623590907953335
P_3495373,0.13305927516671998,-0.682309908880592,-0.3027967929552197,0.12582738469162047,-1.1540803309739966,0.4766601916759872
P_3496636,1.7201252255842603,0.1796861366428562,1.5293502352041306,-0.5083125921649,0.5422233288899992,-1.9711278062838231
P_3496872,-0.8097328254844609,-0.014438233507219839,-0.6385376249515498,1.1360897567500845,-1.2361425480679507,-0.7188582686754154
P_3499099,0.2390745679471467,-0.41609052401430724,0.767026953173967,0.3135927637161377,-0.8724747462102043,-2.142505632183436
P_3499689,-1.3839126653319591,0.22836523506819228,-1.064526740837357,0.1481162373309933,-1.6929086090229584,0.2207889263148318
P_3500408,0.288280637503862,-0.0651222512742916,1.1786238130229973,-0.19921924185487017,1.9237822198158963,0.7258821268611756
P_3501025,-0.21740605273909133,-1.5833478968724048,1.2947094549108307,0.7248198282066709,1.1417652450570266,0.5480161917762478
P_3504385,-0.2547246631459857,2.317879259323123,-0.6547549506998673,0.1592803217225391,-1.1648749677856525,-0.038158639957200806
P_3507403,0.8674805019091952,-0.36356843125390154,1.0794539738799183,0.5248623433251675,0.8268326928823596,-0.6663866941694776
P_3507916,-0.13112779676555394,-1.43866092710727,0.82208374971057,-0.5680608104689978,1.5200721664222148,1.2609483931574597
P_3508488,-0.8314050167205075,-0.7022227335859588,-1.7060416634773834,-1.365658310642988,-0.3897412202435864,-0.11748636286328656
P_3508897,0.940902933402348,-0.4914115152613738,1.0828007839105038,1.1462440229155784,1.377130403592117,-0.5842211475752167
P_3509945,1.4179221706982053,-0.12365908847850818,1.239499933506443,0.3275318684173246,2.0903446655401265,1.27695080211107
P_3510288,-0.00048565940307499937,-1.1873673327659306,0.6527110120160918,-0.7005010191789424,0.6481354080319353,0.3555799089084737
P_3511752,0.2975409623627878,-0.6450686859245567,-0.3029432592966549,1.0404658394558113,-0.8074512980393,1.2703125607671977
P_3514071,0.16101979261434976,-0.6414612624117036,0.010530493355601396,0.6557775911287048,0.44185851157695005,-0.9385948584136926
P_3515162,-0.7719799795658345,-0.12133529010456176,-0.4942776744135635,-2.5808157883854865,-0.7568199516684555,-0.8748939577667039
P_3517143,-0.06909092672803877,-1.2037241597215589,0.01602057646338508,0.2746232740758628,1.0888143370197136,0.9352206300655432
P_3518933,0.2672028751356971,-0.6426502706663996,0.44805997669935577,0.754033957926307,-0.1563572116076856,0.16264668194138282
P_3519576,-0.30660420807294214,-1.5831017476237703,0.05941434244874936,-0.9707608954778295,1.0006064981378737,0.10916051367459441
P_3520192,-0.33238520054665344,0.6125687706787646,1.4246053500151028,-1.008287931194329,0.66633079100749,-1.0860822355531863
P_3521018,-1.432265330537548,0.23942662729686098,-1.0799929447675143,-0.6505026333773839,-1.7013807051954837,1.085780847556823
P_3521531,-0.4722656926773912,-0.7391143685309199,-0.020616730613289995,-0.05246428956089687,-1.8285460892781498,1.0044725687695835
P_3522545,-0.21787415856636186,-0.4544221389123886,-0.15106109115939745,-0.17934460962525725,-1.7923531450116428,0.28397177607276
P_3523574,0.28953114378654077,-0.338264946926197,0.15831057323942704,0.22241535691535227,0.20231691269876087,-0.8846200583725659
P_3524987,-0.9280380358195031,-0.9012578846044087,0.680459233395205,-1.1298137817334062,0.4872444044810385,-0.30149738370504364
P_3528635,-1.3962178117982673,-0.5411588825303103,-0.7798366872085649,-0.2254959326989905,-1.6833426430074387,0.8019660894471142
P_3528734,2.2658182739971555,2.139063393790486,2.1050063658161817,-2.073057025757634,1.1872442341913079,0.9763740596616904
P_3529389,-1.0675819018819284,-0.7984878889757223,1.2063007193587507,-0.1625805994398903,-0.0790351898602758,0.5432232309836964
P_3529536,1.1282360528983113,2.239575151977348,0.8972654522991065,0.3416727914812133,0.755024355526997,-0.423917348552806
