node1,node2,combined_score
EIF3E,RPL19,951
FBL,RPL19,725
RPL18A,RPL19,999
SEC61B,RPL19,996
PDXP,PNPO,942
VCL,PFN1,887
WASL,PFN1,806
OGDH,SLC25A11,803
CSNK2A1,C1QBP,812
SF3A1,DDX5,937
SNRPD3,DDX5,936
PHF5A,DDX5,921
PABPN1,DDX5,926
CSTF1,DDX5,911
HNRNPL,DDX5,933
SF3A2,DDX5,976
FBL,DDX5,898
ITGA3,COL1A1,737
DCN,COL1A1,966
PLOD1,COL1A1,959
TIMP1,COL1A1,713
PCOLCE,COL1A1,970
PLOD3,COL1A1,949
MAPK1,DUSP3,972
WASL,EFNB3,906
ITGA3,VTN,941
ITGB8,VTN,949
C5,VTN,934
C8G,VTN,915
CTSH,ALDOC,903
NAMPT,CD38,941
GSS,LAP3,914
PYCR3,LAP3,908
PSMA4,NFKB1,959
PSMC4,NFKB1,934
PSMD5,NFKB1,907
VCL,NFKB1,908
PSMD8,NFKB1,925
MAPK1,NFKB1,954
PSMA3,NFKB1,929
PSME2,NFKB1,911
CTSZ,NFKB1,906
PSMD10,NFKB1,937
PSMD7,NFKB1,922
PSMA2,NFKB1,933
RCN1,WFS1,900
SERPIND1,WFS1,900
LGALS1,WFS1,900
TIMP1,WFS1,900
SCG3,WFS1,902
LAMB1,WFS1,903
SNRPD3,GAR1,873
FBL,GAR1,994
RPL18A,GAR1,710
AIMP2,GAR1,750
CD74,CTSC,927
MAPK1,CTSC,911
ARSA,CTSC,915
CTSG,CTSC,962
PYGB,CTSC,903
CTSZ,CTSC,929
YKT6,CTSC,900
MPO,CTSC,927
EEF1A2,ZPR1,823
CYP51A1,PRPF19,736
RFC2,PRPF19,921
SF3A1,PRPF19,998
SNRPD3,PRPF19,999
PHF5A,PRPF19,988
PABPN1,PRPF19,981
CSTF1,PRPF19,944
HNRNPL,PRPF19,990
SF3A2,PRPF19,997
FBL,PRPF19,874
RPA3,PRPF19,908
DDX5,PRPF19,980
GAR1,PRPF19,802
APOH,APOC3,978
PON1,APOC3,894
DLD,PDHX,999
OGDH,PDHX,996
RALA,YBX3,812
DCN,YBX3,788
SF3A1,SART3,704
UQCRC1,SLC25A3,789
ATP5F1D,SLC25A3,786
TOMM22,SLC25A3,891
SLC2A3,MLEC,900
ATP6V1D,MLEC,900
PGRMC1,MLEC,934
CTSH,LTA4H,908
ALDOC,LTA4H,906
VAMP3,ARPC3,910
MYH9,ARPC3,929
WASL,ARPC3,983
MIF,GAPDH,713
MAPK1,GAPDH,868
APEX1,GAPDH,703
EEF1A2,GAPDH,724
DECR1,GAPDH,701
GSR,GAPDH,709
RPL19,GAPDH,714
ALDOC,GAPDH,972
MLF2,USP5,751
TXNL1,USP5,773
PYGM,TPI1,753
TIGAR,TPI1,816
DLD,TPI1,790
ACO2,TPI1,712
PYGL,TPI1,755
PYGB,TPI1,772
AHCY,TPI1,718
ALDOC,TPI1,983
GAPDH,TPI1,999
NANS,CMAS,996
HSPB11,RAB35,774
RAB3A,RAB35,974
AAAS,SRSF9,904
SF3A1,SRSF9,913
SNRPD3,SRSF9,961
PHF5A,SRSF9,913
PABPN1,SRSF9,945
CSTF1,SRSF9,939
HNRNPL,SRSF9,964
SF3A2,SRSF9,978
C1QBP,SRSF9,891
DDX5,SRSF9,924
PRPF19,SRSF9,933
HMOX1,GCLC,888
GSS,GCLC,986
GSR,GCLC,899
LAP3,GCLC,902
MCM5,ASF1A,837
SUPT16H,ASF1A,736
PSMC4,RPS12,900
EIF3D,RPS12,971
EIF5,RPS12,915
EEF1A2,RPS12,834
EIF3E,RPS12,998
FBL,RPS12,982
RPL18A,RPS12,999
SEC61B,RPS12,996
RPL19,RPS12,999
SNX8,SNX3,803
RALA,EXOC2,999
MYH9,EXOC2,910
SLC2A3,TMEM30A,911
SNAP29,TMEM30A,902
ATP6V1D,TMEM30A,911
PGRMC1,TMEM30A,903
MLEC,TMEM30A,900
ITGA3,LAMA4,950
ITGB4,LAMA4,955
NID2,LAMA4,955
LAMB1,LAMA4,955
ITGB8,LAMA4,731
DCN,SPARC,904
TIMP1,SPARC,947
COL1A1,SPARC,986
TRIP6,TTC1,824
TTLL12,TTC1,819
YKT6,LNPEP,900
PSMA4,SKP1,954
PSMC4,SKP1,931
PSMD5,SKP1,910
PSMD8,SKP1,923
PSMA3,SKP1,960
PSME2,SKP1,908
PSMD10,SKP1,917
PSMD7,SKP1,945
STUB1,SKP1,935
PPP2CB,SKP1,932
PSMA2,SKP1,967
NFKB1,SKP1,925
AAAS,NUP155,973
SNRPD3,NUP155,905
AGO2,NUP155,902
SRSF9,NUP155,904
VAMP3,BNIP1,781
ZW10,BNIP1,976
SNAP29,BNIP1,834
STX1A,BNIP1,780
YKT6,BNIP1,800
VCL,LTF,901
CTSZ,LTF,905
CTSH,LTF,913
ALDOC,LTF,907
NFKB1,LTF,904
LTA4H,LTF,920
TIMP1,HRG,905
SPARC,HRG,906
TSC2,UBE3A,934
STUB1,UBE3A,952
SKP1,UBE3A,956
APOC3,RBP1,905
SF3A2,TUSC2,734
HEBP1,GNB4,900
GNA11,GNB4,992
MAPK1,GNB4,737
C5,GNB4,900
DHODH,UMPS,990
FBL,RRP9,999
GAR1,RRP9,820
RPS12,RRP9,975
OAS3,EIF2AK2,841
NANS,DAZAP1,870
SNX3,DAZAP1,734
CLIP2,MAPRE3,787
RFC2,MSH2,786
MCM5,MSH2,923
APEX1,MSH2,773
RPA3,MSH2,960
VAMP3,APOB,900
RCN1,APOB,900
CPB2,APOB,704
APOH,APOB,973
SERPIND1,APOB,964
LGALS1,APOB,902
TIMP1,APOB,919
SCG3,APOB,900
PPP2CB,APOB,900
PON1,APOB,915
LAMB1,APOB,903
WASL,APOB,900
WFS1,APOB,900
APOC3,APOB,996
ARPC3,APOB,900
SPARC,APOB,902
HRG,APOB,716
RBP1,APOB,911
SF3A1,SF3B6,963
SNRPD3,SF3B6,969
PHF5A,SF3B6,994
PABPN1,SF3B6,916
CSTF1,SF3B6,904
HNRNPL,SF3B6,966
SF3A2,SF3B6,999
DDX5,SF3B6,910
PRPF19,SF3B6,996
SRSF9,SF3B6,927
NDUFB4,NDUFS7,996
UQCRC1,NDUFS7,994
ATP5F1D,NDUFS7,987
NDUFB7,NDUFS7,999
PSMA3,HSPE1,765
AHSA1,HSPE1,786
C1QBP,HSPE1,723
MAPK1,GORASP2,968
PPP2CB,PPP3R1,922
RFC2,MSH6,848
MCM5,MSH6,883
SUPT16H,MSH6,838
APEX1,MSH6,758
RPA3,MSH6,936
MSH2,MSH6,999
IDH3G,SPR,843
DLD,ENO1,713
PCK2,ENO1,944
ALDOC,ENO1,889
GAPDH,ENO1,995
TPI1,ENO1,996
SNRPD3,WDR77,964
PLOD1,P3H1,838
COL1A1,P3H1,968
CD74,CTSD,919
VCL,CTSD,913
CTSZ,CTSD,965
CTSH,CTSD,983
ALDOC,CTSD,908
NFKB1,CTSD,908
LTA4H,CTSD,908
LTF,CTSD,910
RCN1,APOA1,900
APOH,APOA1,981
SERPIND1,APOA1,968
LGALS1,APOA1,919
TIMP1,APOA1,932
SCG3,APOA1,904
PON1,APOA1,956
LAMB1,APOA1,902
WFS1,APOA1,900
APOC3,APOA1,999
RBP1,APOA1,919
APOB,APOA1,999
MTHFD1,ATIC,987
MAPK1,TTR,915
ARSA,TTR,905
CTSG,TTR,915
