inx,geneid,pathway,pathwayano
gene1,ALG13,N Glycan Biosynthesis,N Glycan Biosynthesis
gene2,DOLPP1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene3,RPN1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene4,ALG14,N Glycan Biosynthesis,N Glycan Biosynthesis
gene5,MAN1B1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene6,ALG3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene7,B4GALT1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene8,MGAT5,N Glycan Biosynthesis,N Glycan Biosynthesis
gene9,RPN2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene10,STT3A,N Glycan Biosynthesis,N Glycan Biosynthesis
gene11,MGAT3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene12,DAD1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene13,MGAT2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene14,ALG12,N Glycan Biosynthesis,N Glycan Biosynthesis
gene15,TUSC3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene16,MAN1C1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene17,DPM2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene18,DPM1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene19,GANAB,N Glycan Biosynthesis,N Glycan Biosynthesis
gene20,ALG1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene21,MGAT4A,N Glycan Biosynthesis,N Glycan Biosynthesis
gene22,ALG10B,N Glycan Biosynthesis,N Glycan Biosynthesis
gene23,STT3B,N Glycan Biosynthesis,N Glycan Biosynthesis
gene24,MAN1A2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene25,ALG10,N Glycan Biosynthesis,N Glycan Biosynthesis
gene26,ALG11,N Glycan Biosynthesis,N Glycan Biosynthesis
gene27,ALG8,N Glycan Biosynthesis,N Glycan Biosynthesis
gene28,ALG2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene29,DPAGT1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene30,RFT1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene31,DPM3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene32,DDOST,N Glycan Biosynthesis,N Glycan Biosynthesis
gene33,MGAT4B,N Glycan Biosynthesis,N Glycan Biosynthesis
gene34,ALG6,N Glycan Biosynthesis,N Glycan Biosynthesis
gene35,MAN2A2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene36,MAN1A1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene37,MAN2A1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene38,ST6GAL1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene39,B4GALT3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene40,ALG5,N Glycan Biosynthesis,N Glycan Biosynthesis
gene41,B4GALT2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene42,MGAT5B,N Glycan Biosynthesis,N Glycan Biosynthesis
gene43,ALG9,N Glycan Biosynthesis,N Glycan Biosynthesis
gene44,MOGS,N Glycan Biosynthesis,N Glycan Biosynthesis
gene45,FUT8,N Glycan Biosynthesis,N Glycan Biosynthesis
gene46,MGAT1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene47,ENGASE,Other Glycan Degradation,Other Glycan Degradation
gene48,GLB1,Other Glycan Degradation,Other Glycan Degradation
gene49,MANBA,Other Glycan Degradation,Other Glycan Degradation
gene50,MAN2B1,Other Glycan Degradation,Other Glycan Degradation
gene51,GBA,Other Glycan Degradation,Other Glycan Degradation
gene52,NEU4,Other Glycan Degradation,Other Glycan Degradation
gene53,NEU2,Other Glycan Degradation,Other Glycan Degradation
gene54,NEU1,Other Glycan Degradation,Other Glycan Degradation
gene55,FUCA1,Other Glycan Degradation,Other Glycan Degradation
gene56,FUCA2,Other Glycan Degradation,Other Glycan Degradation
gene57,AGA,Other Glycan Degradation,Other Glycan Degradation
gene58,MAN2C1,Other Glycan Degradation,Other Glycan Degradation
gene59,MAN2B2,Other Glycan Degradation,Other Glycan Degradation
gene60,NEU3,Other Glycan Degradation,Other Glycan Degradation
gene61,HEXB,Other Glycan Degradation,Other Glycan Degradation
gene62,HEXA,Other Glycan Degradation,Other Glycan Degradation
gene63,GALNT4,O Glycan Biosynthesis,O Glycan Biosynthesis
gene64,GALNT15,O Glycan Biosynthesis,O Glycan Biosynthesis
gene65,GALNTL5,O Glycan Biosynthesis,O Glycan Biosynthesis
gene66,GALNT6,O Glycan Biosynthesis,O Glycan Biosynthesis
gene67,GALNT5,O Glycan Biosynthesis,O Glycan Biosynthesis
gene68,GALNT16,O Glycan Biosynthesis,O Glycan Biosynthesis
gene69,GALNTL6,O Glycan Biosynthesis,O Glycan Biosynthesis
gene70,GALNT13,O Glycan Biosynthesis,O Glycan Biosynthesis
gene71,GCNT3,O Glycan Biosynthesis,O Glycan Biosynthesis
gene72,GALNT10,O Glycan Biosynthesis,O Glycan Biosynthesis
gene73,ST6GALNAC1,O Glycan Biosynthesis,O Glycan Biosynthesis
gene74,GALNT9,O Glycan Biosynthesis,O Glycan Biosynthesis
gene75,GALNT7,O Glycan Biosynthesis,O Glycan Biosynthesis
gene76,GCNT4,O Glycan Biosynthesis,O Glycan Biosynthesis
gene77,GALNT11,O Glycan Biosynthesis,O Glycan Biosynthesis
gene78,GCNT1,O Glycan Biosynthesis,O Glycan Biosynthesis
gene79,GALNT8,O Glycan Biosynthesis,O Glycan Biosynthesis
gene80,GALNT14,O Glycan Biosynthesis,O Glycan Biosynthesis
gene81,B3GNT6,O Glycan Biosynthesis,O Glycan Biosynthesis
gene82,C1GALT1,O Glycan Biosynthesis,O Glycan Biosynthesis
gene83,GALNT18,O Glycan Biosynthesis,O Glycan Biosynthesis
gene84,GALNT12,O Glycan Biosynthesis,O Glycan Biosynthesis
gene85,GALNT2,O Glycan Biosynthesis,O Glycan Biosynthesis
gene86,GALNT3,O Glycan Biosynthesis,O Glycan Biosynthesis
gene87,GALNT17,O Glycan Biosynthesis,O Glycan Biosynthesis
gene88,GALNT1,O Glycan Biosynthesis,O Glycan Biosynthesis
gene89,ST3GAL2,O Glycan Biosynthesis,O Glycan Biosynthesis
gene90,ST3GAL1,O Glycan Biosynthesis,O Glycan Biosynthesis
gene91,B4GALT5,O Glycan Biosynthesis,O Glycan Biosynthesis
gene92,C1GALT1C1,O Glycan Biosynthesis,O Glycan Biosynthesis
gene93,HS3ST3A1,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene94,HPSE,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene95,HPSE2,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene96,GLB1,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene97,GUSB,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene98,HYAL3,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene99,GNS,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene100,HYAL4,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene101,HYAL1,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene102,HYAL2,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene103,SPAM1,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene104,HGSNAT,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene105,GALNS,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene106,IDUA,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene107,HS3ST3B1,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene108,SGSH,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene109,HEXB,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene110,NAGLU,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene111,HEXA,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene112,IDS,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene113,ARSB,Glycosaminoglycan Degradation,Glycosaminoglycan Degradation
gene114,CHST2,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene115,B4GAT1,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene116,B3GNT2,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene117,CHST1,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene118,B4GALT1,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene119,B3GNT7,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene120,ST3GAL2,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene121,B4GALT3,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene122,ST3GAL1,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene123,B4GALT2,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene124,B4GALT4,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene125,CHST4,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene126,ST3GAL3,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene127,FUT8,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene128,CHST6,Glycosaminoglycan Biosynthesis Keratan Sulfate,Glycosaminoglycan Biosynthesis Keratan Sulfate
gene129,MBOAT2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene130,GPAM,Glycerolipid Metabolism,Glycerolipid Metabolism
gene131,LIPG,Glycerolipid Metabolism,Glycerolipid Metabolism
gene132,DGKZ,Glycerolipid Metabolism,Glycerolipid Metabolism
gene133,DGKE,Glycerolipid Metabolism,Glycerolipid Metabolism
gene134,DGKD,Glycerolipid Metabolism,Glycerolipid Metabolism
gene135,DGKH,Glycerolipid Metabolism,Glycerolipid Metabolism
gene136,MBOAT1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene137,GK,Glycerolipid Metabolism,Glycerolipid Metabolism
gene138,DGAT2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene139,GK2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene140,GLA,Glycerolipid Metabolism,Glycerolipid Metabolism
gene141,ALDH7A1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene142,AGK,Glycerolipid Metabolism,Glycerolipid Metabolism
gene143,TKFC,Glycerolipid Metabolism,Glycerolipid Metabolism
gene144,AGPAT3,Glycerolipid Metabolism,Glycerolipid Metabolism
gene145,AWAT2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene146,AGPAT4,Glycerolipid Metabolism,Glycerolipid Metabolism
gene147,AKR1B1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene148,PNLIPRP2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene149,PNLIPRP1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene150,PNLIP,Glycerolipid Metabolism,Glycerolipid Metabolism
gene151,DGAT1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene152,GLYCTK,Glycerolipid Metabolism,Glycerolipid Metabolism
gene153,LPL,Glycerolipid Metabolism,Glycerolipid Metabolism
gene154,ALDH1B1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene155,DGKQ,Glycerolipid Metabolism,Glycerolipid Metabolism
gene156,ALDH2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene157,DGKB,Glycerolipid Metabolism,Glycerolipid Metabolism
gene158,DGKG,Glycerolipid Metabolism,Glycerolipid Metabolism
gene159,AKR1A1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene160,DGKA,Glycerolipid Metabolism,Glycerolipid Metabolism
gene161,PLPP3,Glycerolipid Metabolism,Glycerolipid Metabolism
gene162,LIPC,Glycerolipid Metabolism,Glycerolipid Metabolism
gene163,DGKI,Glycerolipid Metabolism,Glycerolipid Metabolism
gene164,LCLAT1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene165,GPAT3,Glycerolipid Metabolism,Glycerolipid Metabolism
gene166,MGLL,Glycerolipid Metabolism,Glycerolipid Metabolism
gene167,GPAT4,Glycerolipid Metabolism,Glycerolipid Metabolism
gene168,ALDH9A1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene169,ALDH3A2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene170,PNPLA3,Glycerolipid Metabolism,Glycerolipid Metabolism
gene171,PLPP1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene172,PLPP2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene173,AGPAT1,Glycerolipid Metabolism,Glycerolipid Metabolism
gene174,AGPAT2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene175,CEL,Glycerolipid Metabolism,Glycerolipid Metabolism
gene176,GPAT2,Glycerolipid Metabolism,Glycerolipid Metabolism
gene177,LIPF,Glycerolipid Metabolism,Glycerolipid Metabolism
gene178,PIGP,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene179,PIGW,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene180,PIGM,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene181,PIGN,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene182,PIGS,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene183,PIGF,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene184,DPM2,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene185,PIGQ,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene186,PIGH,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene187,PIGO,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene188,PIGG,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene189,PIGZ,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene190,GPAA1,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene191,PIGU,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene192,PGAP1,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene193,PIGT,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene194,PIGK,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene195,PIGY,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene196,PIGL,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene197,PIGV,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene198,PIGB,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene199,PIGX,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene200,PIGA,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene201,GPLD1,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene202,PIGC,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis,Glycosylphosphatidylinositol Gpi Anchor Biosynthesis
gene203,PEMT,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene204,PLA2G15,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene205,GPD1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene206,GPD1L,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene207,LPGAT1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene208,GPAM,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene209,MBOAT2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene210,MBOAT7,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene211,CHAT,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene212,LPCAT1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene213,PTDSS1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene214,ACHE,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene215,PLA2G3,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene216,DGKZ,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene217,ETNK1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene218,DGKE,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene219,DGKD,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene220,PCYT1A,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene221,DGKH,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene222,JMJD7-PLA2G4B,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene223,CHPT1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene224,MBOAT1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene225,PLA2G6,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene226,PLA2G2E,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene227,PLA2G10,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene228,LPCAT3,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene229,PLA2G2A,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene230,ETNK2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene231,PLA2G4A,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene232,PLA2G5,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene233,PLA2G12B,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene234,PLA2G4B,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene235,PTDSS2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene236,PLA2G2F,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene237,PCYT2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene238,CDS1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene239,AGPAT3,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene240,AGPAT4,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene241,PGS1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene242,LYPLA1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene243,PLA2G1B,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene244,ADPRM,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene245,CDIPT,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene246,DGKQ,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene247,CDS2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene248,DGKB,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene249,DGKG,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene250,PLPP3,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene251,DGKA,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene252,DGKI,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene253,PHOSPHO1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene254,LCLAT1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene255,TAFAZZIN,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene256,GPAT3,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene257,GNPAT,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene258,LPCAT4,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene259,PLA2G4E,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene260,GPAT4,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene261,CHKA,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene262,PLPP1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene263,PLPP2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene264,LYPLA2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene265,PLA2G2C,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene266,AGPAT1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene267,PLA2G2D,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene268,LPCAT2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene269,PLA2G12A,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene270,AGPAT2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene271,PLD1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene272,CHKB,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene273,PISD,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene274,PLD2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene275,PCYT1B,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene276,GPAT2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene277,LCAT,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene278,CRLS1,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene279,GPD2,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism
gene280,ENPP2,Ether Lipid Metabolism,Ether Lipid Metabolism
gene281,PAFAH1B1,Ether Lipid Metabolism,Ether Lipid Metabolism
gene282,PLPP3,Ether Lipid Metabolism,Ether Lipid Metabolism
gene283,LPCAT1,Ether Lipid Metabolism,Ether Lipid Metabolism
gene284,PLA2G3,Ether Lipid Metabolism,Ether Lipid Metabolism
gene285,ENPP6,Ether Lipid Metabolism,Ether Lipid Metabolism
gene286,LPCAT4,Ether Lipid Metabolism,Ether Lipid Metabolism
gene287,PLA2G4E,Ether Lipid Metabolism,Ether Lipid Metabolism
gene288,JMJD7-PLA2G4B,Ether Lipid Metabolism,Ether Lipid Metabolism
gene289,CHPT1,Ether Lipid Metabolism,Ether Lipid Metabolism
gene290,AGPS,Ether Lipid Metabolism,Ether Lipid Metabolism
gene291,PLA2G6,Ether Lipid Metabolism,Ether Lipid Metabolism
gene292,PAFAH1B3,Ether Lipid Metabolism,Ether Lipid Metabolism
gene293,PLA2G2E,Ether Lipid Metabolism,Ether Lipid Metabolism
gene294,PLA2G10,Ether Lipid Metabolism,Ether Lipid Metabolism
gene295,PAFAH2,Ether Lipid Metabolism,Ether Lipid Metabolism
gene296,PLA2G2A,Ether Lipid Metabolism,Ether Lipid Metabolism
gene297,PLA2G4A,Ether Lipid Metabolism,Ether Lipid Metabolism
gene298,PLA2G5,Ether Lipid Metabolism,Ether Lipid Metabolism
gene299,PLA2G12B,Ether Lipid Metabolism,Ether Lipid Metabolism
gene300,PLA2G4B,Ether Lipid Metabolism,Ether Lipid Metabolism
gene301,PLA2G7,Ether Lipid Metabolism,Ether Lipid Metabolism
gene302,PLA2G2F,Ether Lipid Metabolism,Ether Lipid Metabolism
gene303,PLPP1,Ether Lipid Metabolism,Ether Lipid Metabolism
gene304,PLPP2,Ether Lipid Metabolism,Ether Lipid Metabolism
gene305,PLA2G2C,Ether Lipid Metabolism,Ether Lipid Metabolism
gene306,PAFAH1B2,Ether Lipid Metabolism,Ether Lipid Metabolism
gene307,PLA2G2D,Ether Lipid Metabolism,Ether Lipid Metabolism
gene308,LPCAT2,Ether Lipid Metabolism,Ether Lipid Metabolism
gene309,PLD1,Ether Lipid Metabolism,Ether Lipid Metabolism
gene310,PLA2G12A,Ether Lipid Metabolism,Ether Lipid Metabolism
gene311,PLD2,Ether Lipid Metabolism,Ether Lipid Metabolism
gene312,PLA2G1B,Ether Lipid Metabolism,Ether Lipid Metabolism
gene313,EPHX2,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene314,CYP2E1,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene315,ALOX5,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene316,CYP4A11,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene317,CYP2J2,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene318,GGT1,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene319,PLA2G3,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene320,AKR1C3,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene321,PTGIS,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene322,ALOX12B,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene323,CYP4F2,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene324,CYP2C18,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene325,PTGES2,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene326,ALOX15B,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene327,ALOX15,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene328,JMJD7-PLA2G4B,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene329,PLA2G6,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene330,PLA2G2E,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene331,PLA2G10,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene332,PLA2G2A,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene333,PLA2G4A,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene334,PLA2G5,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene335,PTGS2,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene336,PLA2G12B,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene337,PTGS1,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
gene338,PLA2G4B,Arachidonic Acid Metabolism,Arachidonic Acid Metabolism
